physician_id,physician_experience,question_id,question_uncertainty,question_order,Di,A,oe_used,Df,F,R,ts_Di_lock,ts_oe_start,ts_Df_lock,ts_F_lock,oe_time_seconds
P001,Fellow,Q015,Guideline-Direct,1,B,E,No,,B,C,2026-05-15T13:00:25Z,,,2026-05-15T13:00:46Z,
P001,Fellow,Q024,Evidence-Equipoise,2,D,C,Yes,D,,D,2026-05-15T13:01:13Z,2026-05-15T13:01:13Z,2026-05-15T13:02:03Z,,50
P001,Fellow,Q036,Extrapolation-Required,3,A,A,Yes,D,,D,2026-05-15T13:02:56Z,2026-05-15T13:02:56Z,2026-05-15T13:03:51Z,,55
P001,Fellow,Q002,Guideline-Direct,4,B,B,Yes,B,,B,2026-05-15T13:04:36Z,2026-05-15T13:04:36Z,2026-05-15T13:06:22Z,,106
P001,Fellow,Q014,Guideline-Direct,5,A,D,Yes,A,,C,2026-05-15T13:07:05Z,2026-05-15T13:07:05Z,2026-05-15T13:08:57Z,,112
P001,Fellow,Q023,Evidence-Equipoise,6,C,D,No,,C,C,2026-05-15T13:09:47Z,,,2026-05-15T13:09:54Z,
P001,Fellow,Q042,Extrapolation-Required,7,A,C,No,,A,A,2026-05-15T13:10:37Z,,,2026-05-15T13:10:49Z,
P001,Fellow,Q011,Guideline-Direct,8,D,A,No,,D,B,2026-05-15T13:11:21Z,,,2026-05-15T13:11:42Z,
P001,Fellow,Q046,Extrapolation-Required,9,B,B,Yes,B,,B,2026-05-15T13:12:19Z,2026-05-15T13:12:19Z,2026-05-15T13:14:39Z,,140
P001,Fellow,Q003,Guideline-Direct,10,C,B,Yes,C,,B,2026-05-15T13:15:21Z,2026-05-15T13:15:21Z,2026-05-15T13:16:28Z,,67
P001,Fellow,Q026,Evidence-Equipoise,11,D,E,Yes,D,,C,2026-05-15T13:17:12Z,2026-05-15T13:17:12Z,2026-05-15T13:18:00Z,,48
P001,Fellow,Q029,Evidence-Equipoise,12,A,B,Yes,A,,B,2026-05-15T13:18:33Z,2026-05-15T13:18:33Z,2026-05-15T13:21:04Z,,151
P001,Fellow,Q022,Evidence-Equipoise,13,A,E,No,,B,A,2026-05-15T13:21:50Z,,,2026-05-15T13:22:10Z,
P001,Fellow,Q033,Evidence-Equipoise,14,A,A,Yes,A,,A,2026-05-15T13:22:51Z,2026-05-15T13:22:51Z,2026-05-15T13:24:00Z,,69
P001,Fellow,Q048,Extrapolation-Required,15,C,A,No,,C,E,2026-05-15T13:24:38Z,,,2026-05-15T13:24:46Z,
P001,Fellow,Q013,Guideline-Direct,16,A,B,No,,A,C,2026-05-15T13:25:06Z,,,2026-05-15T13:25:13Z,
P001,Fellow,Q006,Guideline-Direct,17,D,E,Yes,D,,D,2026-05-15T13:25:47Z,2026-05-15T13:25:47Z,2026-05-15T13:29:35Z,,228
P001,Fellow,Q034,Evidence-Equipoise,18,E,C,Yes,E,,C,2026-05-15T13:30:11Z,2026-05-15T13:30:11Z,2026-05-15T13:32:25Z,,134
P001,Fellow,Q030,Evidence-Equipoise,19,A,D,Yes,D,,D,2026-05-15T13:33:17Z,2026-05-15T13:33:17Z,2026-05-15T13:36:32Z,,195
P001,Fellow,Q037,Extrapolation-Required,20,A,A,Yes,B,,A,2026-05-15T13:37:24Z,2026-05-15T13:37:24Z,2026-05-15T13:41:02Z,,218
P001,Fellow,Q043,Extrapolation-Required,21,C,E,Yes,E,,E,2026-05-15T13:41:31Z,2026-05-15T13:41:31Z,2026-05-15T13:45:09Z,,218
P001,Fellow,Q031,Evidence-Equipoise,22,C,E,Yes,E,,E,2026-05-15T13:45:36Z,2026-05-15T13:45:36Z,2026-05-15T13:48:14Z,,158
P001,Fellow,Q045,Extrapolation-Required,23,E,D,Yes,E,,E,2026-05-15T13:48:39Z,2026-05-15T13:48:39Z,2026-05-15T13:52:14Z,,215
P001,Fellow,Q050,Extrapolation-Required,24,B,C,Yes,A,,A,2026-05-15T13:53:03Z,2026-05-15T13:53:03Z,2026-05-15T13:56:38Z,,215
P001,Fellow,Q028,Evidence-Equipoise,25,A,E,Yes,A,,E,2026-05-15T13:57:14Z,2026-05-15T13:57:14Z,2026-05-15T13:59:05Z,,111
P001,Fellow,Q035,Extrapolation-Required,26,A,A,Yes,A,,A,2026-05-15T13:59:45Z,2026-05-15T13:59:45Z,2026-05-15T14:01:37Z,,112
P001,Fellow,Q001,Guideline-Direct,27,B,C,No,,B,C,2026-05-15T14:02:00Z,,,2026-05-15T14:02:11Z,
P001,Fellow,Q049,Extrapolation-Required,28,A,C,Yes,A,,C,2026-05-15T14:03:01Z,2026-05-15T14:03:01Z,2026-05-15T14:04:04Z,,63
P001,Fellow,Q032,Evidence-Equipoise,29,D,D,No,,D,E,2026-05-15T14:04:39Z,,,2026-05-15T14:04:54Z,
P001,Fellow,Q041,Extrapolation-Required,30,E,E,Yes,E,,E,2026-05-15T14:05:42Z,2026-05-15T14:05:42Z,2026-05-15T14:07:11Z,,89
P001,Fellow,Q040,Extrapolation-Required,31,E,D,Yes,E,,C,2026-05-15T14:07:55Z,2026-05-15T14:07:55Z,2026-05-15T14:08:34Z,,39
P001,Fellow,Q019,Evidence-Equipoise,32,B,B,Yes,B,,B,2026-05-15T14:09:06Z,2026-05-15T14:09:06Z,2026-05-15T14:09:50Z,,44
P001,Fellow,Q007,Guideline-Direct,33,C,E,No,,C,E,2026-05-15T14:10:25Z,,,2026-05-15T14:10:31Z,
P001,Fellow,Q025,Evidence-Equipoise,34,C,C,No,,C,C,2026-05-15T14:11:23Z,,,2026-05-15T14:11:38Z,
P001,Fellow,Q017,Guideline-Direct,35,D,D,No,,D,D,2026-05-15T14:12:04Z,,,2026-05-15T14:12:20Z,
P001,Fellow,Q009,Guideline-Direct,36,B,A,Yes,A,,A,2026-05-15T14:13:10Z,2026-05-15T14:13:10Z,2026-05-15T14:14:50Z,,100
P001,Fellow,Q018,Evidence-Equipoise,37,D,D,No,,D,D,2026-05-15T14:15:21Z,,,2026-05-15T14:15:29Z,
P001,Fellow,Q004,Guideline-Direct,38,B,E,No,,B,B,2026-05-15T14:15:56Z,,,2026-05-15T14:16:10Z,
P001,Fellow,Q008,Guideline-Direct,39,B,C,Yes,B,,E,2026-05-15T14:16:53Z,2026-05-15T14:16:53Z,2026-05-15T14:18:57Z,,124
P001,Fellow,Q012,Guideline-Direct,40,D,E,Yes,D,,D,2026-05-15T14:19:18Z,2026-05-15T14:19:18Z,2026-05-15T14:20:47Z,,89
P001,Fellow,Q005,Guideline-Direct,41,D,E,Yes,D,,C,2026-05-15T14:21:13Z,2026-05-15T14:21:13Z,2026-05-15T14:27:13Z,,360
P001,Fellow,Q044,Extrapolation-Required,42,C,D,Yes,C,,D,2026-05-15T14:28:02Z,2026-05-15T14:28:02Z,2026-05-15T14:28:38Z,,36
P001,Fellow,Q047,Extrapolation-Required,43,C,D,No,,C,D,2026-05-15T14:29:03Z,,,2026-05-15T14:29:23Z,
P001,Fellow,Q039,Extrapolation-Required,44,B,B,Yes,B,,B,2026-05-15T14:29:53Z,2026-05-15T14:29:53Z,2026-05-15T14:31:47Z,,114
P001,Fellow,Q010,Guideline-Direct,45,C,C,Yes,C,,C,2026-05-15T14:32:15Z,2026-05-15T14:32:15Z,2026-05-15T14:35:00Z,,165
