physician_id,physician_experience
P001,Fellow
P002,Fellow
P003,Fellow
P004,Fellow
P005,Fellow
P006,Fellow
P007,Fellow
P008,Fellow
P009,Fellow
P010,Fellow
P011,Fellow
P012,Fellow
P013,Fellow
P014,Fellow
P015,Fellow
P016,Fellow
P017,Fellow
P018,Fellow
P019,Fellow
P020,Fellow
P021,Attending_lt10
P022,Attending_lt10
P023,Attending_lt10
P024,Attending_lt10
P025,Attending_lt10
P026,Attending_lt10
P027,Attending_lt10
P028,Attending_lt10
P029,Attending_lt10
P030,Attending_lt10
P031,Attending_lt10
P032,Attending_lt10
P033,Attending_lt10
P034,Attending_lt10
P035,Attending_lt10
P036,Attending_lt10
P037,Attending_lt10
P038,Attending_lt10
P039,Attending_lt10
P040,Attending_lt10
P041,Attending_gte10
P042,Attending_gte10
P043,Attending_gte10
P044,Attending_gte10
P045,Attending_gte10
P046,Attending_gte10
P047,Attending_gte10
P048,Attending_gte10
P049,Attending_gte10
P050,Attending_gte10
P051,Attending_gte10
P052,Attending_gte10
P053,Attending_gte10
P054,Attending_gte10
P055,Attending_gte10
P056,Attending_gte10
P057,Attending_gte10
P058,Attending_gte10
P059,Attending_gte10
P060,Attending_gte10
